PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
21,4/14/23,4:18:35 PM,4,6,Jason White,whiteja85,Right,Duke,Patrick Roche,rochepa43,Right,Boston college,,1,Bottom,2,2,2,Fastball,,Foul,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,b33b5ace-1571-4422-a943-0c1e5b8cafef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
22,4/14/23,4:19:00 PM,4,7,Jason White,whiteja85,Right,Duke,Cameron Leary,learyca42,Left,Boston college,,1,Bottom,2,2,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,575793f3-f5fc-4762-be5c-4f61787f1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Stone,stoneal45,Duke
23,4/14/23,4:21:11 PM,1,1,Henry Leake,leakehe42,Right,Boston college,Mj Metz,metz-mj42,Right,Duke,,2,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,f5422ca9-6911-46b8-8dbf-4e943b3a1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Burns,burnspe42,Boston college
24,4/14/23,4:21:27 PM,1,2,Henry Leake,leakehe42,Right,Boston college,Mj Metz,metz-mj42,Right,Duke,,2,Top,0,0,1,Slider,,StrikeCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,35d80485-ab4a-49c6-b83d-24afac0165eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Burns,burnspe42,Boston college
25,4/14/23,4:21:38 PM,1,3,Henry Leake,leakehe42,Right,Boston college,Mj Metz,metz-mj42,Right,Duke,,2,Top,0,0,2,Slider,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,cad958d4-2675-4c3c-af7d-083036e8a1b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Burns,burnspe42,Boston college
26,4/14/23,4:21:52 PM,1,4,Henry Leake,leakehe42,Right,Boston college,Mj Metz,metz-mj42,Right,Duke,,2,Top,0,1,2,Fastball,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,3a67e903-be2f-48c9-80e4-b1f1fd348b5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Burns,burnspe42,Boston college
27,4/14/23,4:22:21 PM,1,5,Henry Leake,leakehe42,Right,Boston college,Mj Metz,metz-mj42,Right,Duke,,2,Top,0,2,2,Slider,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,7c2d66b6-2308-45a9-b636-7f901f03232e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Burns,burnspe42,Boston college
28,4/14/23,4:22:26 PM,1,6,Henry Leake,leakehe42,Right,Boston college,Damon Lux,lux--da43,Right,Duke,,2,Top,0,3,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,d66ccde7-eb40-4088-b887-6614b08dd2ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Burns,burnspe42,Boston college
29,4/14/23,4:23:06 PM,2,1,Henry Leake,leakehe42,Right,Boston college,Giovanni Digiacomo,digiagi42,Left,Duke,,2,Top,1,0,0,Curveball,,HitByPitch,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,5e6ebfa9-7bea-4c03-b763-e4031d31d845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Burns,burnspe42,Boston college
30,4/14/23,4:23:45 PM,3,1,Henry Leake,leakehe42,Right,Boston college,Giovanni Digiacomo,digiagi42,Left,Duke,,2,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boston College,Duke,,,,88e56a10-1f86-4a4d-b15e-ead714d551ba,621d5e12-2505-4170-91e8-f1ae8cc80899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Burns,burnspe42,Boston college
